S.No.,India / State/ Union Territory,Population,Literacy Rate,Region
1,Andhra Pradesh,49386799,67,SOUTH
2,Arunachal Pradesh,1383727,65.4,EAST
3,Assam,31205576,72.2,EAST
4,Bihar,104099452,61.8,EAST
5,Chhattisgarh,25545198,70.3,NORTH
6,Goa,1458545,88.7,WEST
7,Gujarat,60439692,78,WEST
8,Haryana,25351462,75.6,NORTH
9,Himachal Pradesh,6864602,82.8,NORTH
10,Jammu & Kashmir,12541302,67.2,NORTH
11,Jharkhand,32988134,66.4,EAST
12,Karnataka,61095297,75.4,SOUTH
13,Kerala,33406061,94,SOUTH
14,Madhya Pradesh,72626809,69.3,NORTH
15,Maharashtra,112374333,82.3,WEST
16,Manipur,2855794,76.9,EAST
17,Meghalaya,2966889,74.4,EAST
18,Mizoram,1097206,91.3,EAST
19,Nagaland,1978502,79.6,EAST
20,Odisha,41974218,72.9,EAST
21,Punjab,27743338,75.8,NORTH
22,Rajasthan,68548437,NORTH
23,Sikkim,610577,66.1,EAST
24,Tamil Nadu,72147030,80.1,SOUTH
25,Telangana,35193978,66.54,SOUTH
26,Tripura,3673917,87.2,EAST
27,Uttarakhand,10086292,78.8,NORTH
28,Uttar Pradesh,199812341,67.7,NORTH
29,West Bengal,91276115,76.3,EAST